time_ms,adc_output_mv,smoothed_mv,is_r_peak
1385529,1826,1828.333,0
1385560,1821,1822.333,0
1385591,1820,1823.667,0
1385622,1830,1830.333,0
1385653,1841,1839.333,0
1385685,1847,1845.333,0
1385717,1848,1848.0,0
1385749,1849,1848.0,0
1385781,1847,1846.667,0
1385813,1844,1845.0,0
1385845,1844,1845.333,0
1385877,1848,1846.333,0
1385909,1847,1847.667,0
1385941,1848,1847.667,0
1385973,1848,1848.333,0
1386005,1849,1850.0,0
1386037,1853,1850.333,0
1386069,1849,1851.0,0
1386101,1851,1849.333,0
1386133,1848,1849.333,0
1386165,1849,1842.0,0
1386197,1829,1853.333,0
1386228,1882,1861.0,0
1386260,1872,1866.0,0
1386292,1844,1852.333,0
1386324,1841,1839.667,0
1386356,1834,1832.0,0
1386388,1821,1824.0,0
1386419,1817,1818.667,0
1386450,1818,1822.0,0
1386481,1831,1829.333,0
1386512,1839,1838.667,0
1386544,1846,1844.0,0
1386576,1847,1846.667,0
1386608,1847,1846.667,0
1386640,1846,1846.333,0
1386672,1846,1845.667,0
1386704,1845,1845.333,0
1386736,1845,1844.667,0
1386768,1844,1844.0,0
1386800,1843,1843.333,0
1386832,1843,1843.0,0
1386864,1843,1842.333,0
1386896,1841,1841.333,0
1386928,1840,1839.667,0
1386960,1838,1840.0,0
1386992,1842,1840.0,0
1387024,1840,1833.0,0
1387056,1817,1860.333,0
1387087,1924,1859.0,0
1387119,1836,1863.333,0
1387151,1830,1830.0,0
1387182,1824,1825.333,0
1387213,1822,1821.0,0
1387244,1817,1818.667,0
1387275,1817,1819.667,0
1387306,1825,1827.0,0
1387337,1839,1836.333,0
1387369,1845,1843.333,0
1387401,1846,1844.667,0
1387433,1843,1843.0,0
1387465,1840,1841.333,0
1387497,1841,1841.667,0
1387529,1844,1843.0,0
1387561,1844,1844.667,0
1387593,1846,1846.333,0
1387625,1849,1848.0,0
1387657,1849,1848.333,0
1387689,1847,1847.333,0
1387721,1846,1847.0,0
1387753,1848,1845.667,0
1387785,1843,1834.667,0
1387817,1813,1895.333,0
1387848,2030,1896.333,0
1387880,1846,1905.667,1
1387912,1841,1839.333,0
1387944,1831,1832.0,0
1387975,1824,1824.333,0
1388006,1818,1820.333,0
1388037,1819,1821.333,0
1388068,1827,1830.667,0
1388099,1846,1840.333,0
1388131,1848,1847.667,0
1388163,1849,1849.0,0
1388195,1850,1849.667,0
1388227,1850,1849.333,0
1388259,1848,1847.333,0
1388291,1844,1846.0,0
1388323,1846,1846.0,0
1388355,1848,1847.667,0
1388387,1849,1847.667,0
1388419,1846,1848.333,0
1388451,1850,1857.0,0
1388483,1875,1852.667,0
1388515,1833,1889.667,0
1388546,1961,1895.667,0
1388578,1893,1902.333,1
1388610,1853,1862.667,0
1388642,1842,1843.667,0
1388674,1836,1834.333,0
1388706,1825,1827.667,0
1388737,1822,1823.667,0
1388768,1824,1829.667,0
1388799,1843,1840.667,0
1388831,1855,1850.0,0
1388863,1852,1854.667,0
1388895,1857,1852.667,0
1388927,1849,1851.0,0
1388959,1847,1846.667,0
1388991,1844,1846.333,0
1389023,1848,1846.333,0
1389055,1847,1846.333,0
1389087,1844,1847.667,0
1389119,1852,1849.0,0
1389151,1851,1852.333,0
1389183,1854,1840.0,0
1389215,1815,1901.333,0
1389246,2035,1900.667,0
1389278,1852,1910.333,1
1389310,1844,1845.0,0
1389342,1839,1837.667,0
1389374,1830,1832.667,0
1389405,1829,1829.333,0
1389436,1829,1832.667,0
1389467,1840,1849.333,0
1389499,1879,1870.667,0
1389531,1893,1895.333,0
1389563,1914,1896.667,0
1389595,1883,1892.667,0
1389627,1881,1883.667,0
1389659,1887,1882.333,0
1389691,1879,1880.0,0
1389723,1874,1868.333,0
1389755,1852,1866.667,0
1389787,1874,1874.333,0
1389819,1897,1876.0,0
1389851,1857,1859.0,0
1389883,1823,1891.667,0
1389914,1995,1888.0,0
1389946,1846,1895.333,1
1389978,1845,1844.0,0
1390010,1841,1840.0,0
1390042,1834,1834.333,0
1390074,1828,1829.667,0
1390105,1827,1832.0,0
1390136,1841,1841.333,0
1390168,1856,1853.0,0
1390200,1862,1856.667,0
1390232,1852,1855.0,0
1390264,1851,1850.0,0
1390296,1847,1848.667,0
1390328,1848,1849.333,0
1390360,1853,1848.667,0
1390392,1845,1847.667,0
1390424,1845,1847.333,0
1390456,1852,1848.333,0
1390488,1848,1839.333,0
1390520,1818,1925.333,0
1390551,2110,1927.0,0
1390583,1853,1934.333,1
1390615,1840,1844.333,0
1390647,1840,1836.667,0
1390679,1830,1830.333,0
1390710,1821,1824.333,0
1390741,1822,1824.667,0
1390772,1831,1832.333,0
1390803,1844,1839.333,0
1390835,1843,1845.333,0
1390867,1849,1846.667,0
1390899,1848,1848.0,0
1390931,1847,1846.667,0
1390963,1845,1848.333,0
1390995,1853,1849.0,0
1391027,1849,1850.0,0
1391059,1848,1850.0,0
1391091,1853,1850.0,0
1391123,1849,1840.667,0
1391155,1820,1897.667,0
1391186,2024,1901.667,0
1391218,1861,1910.333,1
1391250,1846,1849.667,0
1391282,1842,1840.333,0
1391314,1833,1832.333,0
1391345,1822,1824.667,0
1391376,1819,1824.333,0
1391407,1832,1832.667,0
1391438,1847,1845.667,0
1391470,1858,1853.667,0
1391502,1856,1854.667,0
1391534,1850,1851.667,0
1391566,1849,1849.333,0
1391598,1849,1851.0,0
1391630,1855,1852.333,0
1391662,1853,1852.333,0
1391694,1849,1849.333,0
1391726,1846,1847.667,0
1391758,1848,1846.667,0
1391790,1846,1842.0,0
1391822,1832,1847.333,0
1391853,1864,1866.0,0
1391885,1902,1875.0,0
1391917,1859,1868.0,0
1391949,1843,1845.333,0
1391981,1834,1835.0,0
1392013,1828,1828.667,0
1392044,1824,1825.0,0
1392075,1823,1829.333,0
1392106,1841,1837.0,0
1392138,1847,1846.0,0
1392170,1850,1850.0,0
1392202,1853,1850.0,0
1392234,1847,1849.333,0
1392266,1848,1848.667,0
1392298,1851,1860.333,0
1392330,1882,1875.0,0
1392362,1892,1886.0,1
1392394,1884,1882.667,0
1392426,1872,1872.333,0
1392458,1861,1870.0,0
1392490,1877,1865.0,0
1392522,1857,1852.333,0
1392554,1823,1876.333,0
1392585,1949,1873.667,0
1392617,1849,1880.0,0
1392649,1842,1843.333,0
1392681,1839,1838.0,0
1392713,1833,1833.333,0
1392744,1828,1828.667,0
1392775,1825,1828.0,0
1392806,1831,1833.333,0
1392837,1844,1842.0,0
1392869,1851,1856.333,0
1392901,1874,1867.667,0
1392933,1878,1870.0,0
1392965,1858,1862.333,0
1392997,1851,1853.0,0
1393029,1850,1852.667,0
1393061,1857,1852.0,0
1393093,1849,1855.0,0
1393125,1859,1856.667,0
1393157,1862,1861.0,0
1393189,1862,1861.333,0
1393221,1860,1856.333,0
1393253,1847,1851.667,0
1393285,1848,1847.667,0
1393317,1848,1838.333,0
1393349,1819,1895.333,0
1393380,2019,1902.333,0
1393412,1869,1912.0,1
1393444,1848,1852.333,0
1393476,1840,1842.0,0
1393508,1838,1836.0,0
1393540,1830,1831.333,0
1393571,1826,1828.333,0
1393602,1829,1834.0,0
1393633,1847,1844.333,0
1393665,1857,1858.0,0
1393697,1870,1863.667,0
1393729,1864,1865.0,0
1393761,1861,1858.333,0
1393793,1850,1853.667,0
1393825,1850,1851.0,0
1393857,1853,1851.333,0
1393889,1851,1851.667,0
1393921,1851,1850.667,0
1393953,1850,1851.667,0
1393985,1854,1854.333,0
1394017,1859,1853.667,0
1394049,1848,1851.667,0
1394081,1848,1850.667,0
1394113,1856,1848.667,0
1394145,1842,1841.0,0
1394177,1825,1860.667,0
1394208,1915,1861.667,0
1394240,1845,1867.667,0
1394272,1843,1842.667,0
1394304,1840,1838.667,0
1394336,1833,1832.667,0
1394367,1825,1828.333,0
1394398,1827,1830.0,0
1394429,1838,1838.0,0
1394461,1849,1848.333,0
1394493,1858,1854.333,0
1394525,1856,1860.0,0
1394557,1866,1859.0,0
1394589,1855,1857.333,0
1394621,1851,1850.667,0
1394653,1846,1851.667,0
1394685,1858,1863.333,0
1394717,1886,1871.667,0
1394749,1871,1875.333,0
1394781,1869,1871.667,0
1394813,1875,1867.333,0
1394845,1858,1866.333,0
1394877,1866,1868.333,0
1394909,1881,1857.0,0
1394941,1824,1946.667,0
1394972,2135,1945.333,0
1395004,1877,1953.0,1
1395036,1847,1855.0,0
1395068,1841,1841.667,0
1395100,1837,1835.333,0
1395132,1828,1829.333,0
1395163,1823,1827.0,0
1395194,1830,1832.333,0
1395225,1844,1841.333,0
1395257,1850,1851.333,0
1395289,1860,1853.0,0
1395321,1849,1852.667,0
1395353,1849,1849.667,0
1395385,1851,1856.0,0
1395417,1868,1866.667,0
1395449,1881,1879.0,0
1395481,1888,1879.667,0
1395513,1870,1874.333,0
1395545,1865,1862.0,0
1395577,1851,1865.333,0
1395609,1880,1871.333,0
1395641,1883,1871.333,0
1395673,1851,1867.0,0
